service_level_req,raw_positions,positions,occupancy,waiting_probability,service_level
0.53,31,31,0.967741935483871,0.7989462254863134,0.5313012172266448
0.58,32,32,0.9375,0.630222720667364,0.7831064641137038
0.63,32,32,0.9375,0.630222720667364,0.7831064641137038
0.68,32,32,0.9375,0.630222720667364,0.7831064641137038
0.73,32,32,0.9375,0.630222720667364,0.7831064641137038
0.78,32,32,0.9375,0.630222720667364,0.7831064641137038
0.83,33,33,0.9090909090909091,0.4904882035777287,0.900972139580203
0.88,33,33,0.9090909090909091,0.4904882035777287,0.900972139580203
0.93,34,34,0.8823529411764706,0.3763806550167655,0.9554207868144008
0.98,35,35,0.8571428571428571,0.28458246241350754,0.9802262283540263
